"","measure","tech","control","t_value","effect","p_value","standard_error","number","rsqrd"
"1","sdq","sr_tech",0,-13.221489805382,-0.191631084900878,3.44215653860738e-39,0.014493910120694,4562,0.0369197231077259
"2","wellbeing","sr_tech",0,-7.10232984108471,-0.10438936990141,1.41683748955273e-12,0.0146979050870816,4557,0.0109529285662362
"3","sdq","tech_weekday_d",0,-0.0511892941609615,-0.000884160006287334,0.959177842060067,0.0172723617463282,3238,8.09747130744697e-07
"4","wellbeing","tech_weekday_d",0,-1.64204150473051,-0.0280324356314334,0.100678749715163,0.0170716973661601,3232,0.000834071639517916
"5","sdq","tech_weekend_d",0,0.784680079965567,0.022377979976939,0.432780589574608,0.0285186033751755,1335,0.000461694337698104
"6","wellbeing","tech_weekend_d",0,0.4190732661293,0.0122547101870598,0.67523051436376,0.0292424050339654,1327,0.000132527643442413
"7","sdq","tech_weekday_c",0,-3.85778763348547,-0.0700754730767456,0.00011692413976111,0.0181646787574548,2884,0.00513742800905938
"8","wellbeing","tech_weekday_c",0,-3.11645450031383,-0.0565278034358633,0.00184845770590287,0.0181384979084954,2879,0.00336448100169344
"9","sdq","tech_weekend_c",0,-2.30841126751953,-0.0669450855491779,0.0211372767387527,0.0290005019864215,1264,0.00420471998849215
"10","wellbeing","tech_weekend_c",0,-2.45292975265949,-0.0733166537851595,0.0143052004926708,0.029889422518386,1256,0.00477522527008677
"11","sdq","tech_2hr_wd",0,0.0691736472286658,0.00119479185863213,0.944855673264433,0.0172723559693554,3238,1.47867317536377e-06
"12","wellbeing","tech_2hr_wd",0,-1.05813562280249,-0.0180654463804339,0.290072741902557,0.0170729025572234,3232,0.000346521056841235
"13","sdq","tech_1hr_wd",0,0.0529460461278275,0.000914503235907927,0.957778164418001,0.0172723612581012,3238,8.66279781224184e-07
"14","wellbeing","tech_1hr_wd",0,-0.598059404242289,-0.010208712306739,0.549842226592259,0.0170697295859313,3232,0.000110723048956729
"15","sdq","tech_30m_wd",0,-1.23285324918358,-0.021289296789713,0.217720074769189,0.0172683138109189,3238,0.000469472672981495
"16","wellbeing","tech_30m_wd",0,-1.51020426275467,-0.0257711944664397,0.131089126133002,0.0170647078027922,3232,0.000705606076633989
"17","sdq","tech_2hr_we",0,-0.242227570868516,-0.00690943519951255,0.808641093413127,0.0285245613236284,1335,4.40147138491952e-05
"18","wellbeing","tech_2hr_we",0,1.4577230411177,0.0427093830498678,0.145153862576161,0.0292986951877502,1327,0.00160117286187297
