"","measure","tech","control","t_value","effect","p_value","standard_error","number","rsqrd"
"1","selfesteem","sr_tech",0,0.804950805242104,0.0283791642265828,0.421094941161174,0.035255774690538,777,0.000835360684405015
"2","wellbeing","sr_tech",0,-0.538523726831914,-0.0189032006684315,0.590370365051135,0.0351018900868812,776,0.000374546747908186
"3","selfesteem","tech_weekday_d",0,0.830836912619372,0.0550619221323442,0.406730932213749,0.0662728404287563,300,0.0023110559617717
"4","wellbeing","tech_weekday_d",0,-0.0147899874090495,-0.000982787060890596,0.988209624429125,0.0664494859738191,300,7.34038815427331e-07
"5","selfesteem","tech_weekend_d",0,-0.753181256418329,-0.0506773469113995,0.451945753584439,0.0672843973207592,295,0.00193237475629254
"6","wellbeing","tech_weekend_d",0,0.491009950918975,0.0322354277240954,0.623786967573153,0.0656512717588788,295,0.000822158897536586
"7","selfesteem","tech_weekday_c",0,-0.0893540142495188,-0.00608619628099102,0.92886632577527,0.0681132944290055,274,2.93525937768339e-05
"8","wellbeing","tech_weekday_c",0,-0.0611630546999218,-0.00423190114270766,0.95127426947676,0.0691904804864671,274,1.37531904804048e-05
"9","selfesteem","tech_weekend_c",0,-0.783814664429652,-0.0547677963354301,0.433818571619067,0.0698734009720043,279,0.00221301742518767
"10","wellbeing","tech_weekend_c",0,0.339598205891502,0.0230167082749711,0.734416470673655,0.0677762952679576,279,0.000416169479752725
"11","selfesteem","tech_2hr_wd",0,-0.610691658446862,-0.040539505586691,0.54186921141942,0.0663829365048032,300,0.00124992667337653
"12","wellbeing","tech_2hr_wd",0,-1.51629890612805,-0.100484186601166,0.130503817048006,0.0662693788111726,300,0.00765623971295485
"13","selfesteem","tech_1hr_wd",0,0.524911762783863,0.0348341241963044,0.600034814453085,0.0663618662526479,300,0.000923751125444338
"14","wellbeing","tech_1hr_wd",0,-1.62139331382839,-0.107338170320828,0.105990856250912,0.0662011921508324,300,0.00874472193385168
"15","selfesteem","tech_30m_wd",0,0.64758499850978,0.0429432537146471,0.51775197583434,0.066312922339875,300,0.0014052919401711
"16","wellbeing","tech_30m_wd",0,-2.03438498691014,-0.134275073108916,0.0427980041723967,0.0660027841204506,300,0.0136980862426462
"17","selfesteem","tech_2hr_we",0,-1.32442311928009,-0.0890463718001647,0.186394696398675,0.0672340813927857,295,0.00595105078817838
"18","wellbeing","tech_2hr_we",0,-0.643229158842775,-0.0422700013400764,0.520578499421416,0.0657153065264077,295,0.0014101035128641
"19","selfesteem","tech_1hr_we",0,-2.2427395055813,-0.150183873414434,0.0256612065048627,0.0669644749382104,295,0.0168771013216093
"20","wellbeing","tech_1hr_we",0,-1.81079454897767,-0.118598855070162,0.0711967941576991,0.0654954782899696,295,0.011067193943124
