"","measure","tech","control","t_value","effect","p_value","standard_error","number","rsqrd"
"1","selfesteem","sr_tech",0,-13.9246704448244,-0.130248465182929,1.02893136353876e-43,0.00935379158156953,11312,0.0168548498233033
"2","wellbeing","sr_tech",0,-19.586055239032,-0.181618915826274,4.95567714382574e-84,0.00927286855927654,11328,0.032760565313831
"3","sdq","sr_tech",0,-10.4727117058511,-0.10281720021627,1.55935179423148e-25,0.00981762919710911,10069,0.0107773571896197
"4","selfesteem","tech_weekday_d",0,1.21953052790972,0.0189483093272843,0.222714335575383,0.0155373800767101,4028,0.000369276080703887
"5","wellbeing","tech_weekday_d",0,2.13714676263887,0.0328736381736075,0.0326460996924803,0.0153820218378528,4031,0.0011323465895883
"6","sdq","tech_weekday_d",0,3.91660606218501,0.0567863850434042,9.13849388609593e-05,0.0144988758485769,3794,0.00402900813688099
"7","selfesteem","tech_weekend_d",0,0.0903090136498463,0.00138576239189829,0.928046129991119,0.0153446742013071,4046,2.01674122123101e-06
"8","wellbeing","tech_weekend_d",0,0.999900535469387,0.0152870013010543,0.317418440546732,0.0152885219667154,4048,0.000247047474666334
"9","sdq","tech_weekend_d",0,2.9052999939426,0.0418449084529788,0.00369009256962421,0.0144029561629516,3821,0.00220532950509719
"10","selfesteem","tech_weekday_c",0,-2.6337000072477,-0.0450850281296381,0.00848569743953441,0.0171185131205408,3280,0.00211157079918755
"11","wellbeing","tech_weekday_c",0,-2.6603366548281,-0.0450738203129318,0.00784426293982225,0.0169429009035867,3282,0.00215309537163564
"12","sdq","tech_weekday_c",0,-7.11937910770953,-0.11109366374353,1.34203437058963e-12,0.0156044034265891,3096,0.0161178464206623
"13","selfesteem","tech_weekend_c",0,-0.0994367668199715,-0.0016580929634674,0.920797265568791,0.0166748479108271,3454,2.86432279094897e-06
"14","wellbeing","tech_weekend_c",0,0.0862995105440987,0.00141762301878048,0.931233329691363,0.0164267793622778,3456,2.15622161598755e-06
"15","sdq","tech_weekend_c",0,-3.88126687806383,-0.0598681476196534,0.00010597296911734,0.0154248984933287,3259,0.00460389268302449
"16","selfesteem","tech_2hr_wd",0,1.10462202923513,0.0173190826805289,0.26939075140635,0.015678740983032,3948,0.00030912636457831
"17","wellbeing","tech_2hr_wd",0,1.70334563342462,0.0264357780388917,0.0885820888038802,0.015519914173697,3951,0.000734174784049654
"18","sdq","tech_2hr_wd",0,2.64330948661903,0.0385247034608152,0.00824448913085158,0.0145744203075104,3716,0.00187775041470514
"19","selfesteem","tech_1hr_wd",0,0.621193867547422,0.00974095171572906,0.534507954810262,0.0156810171906364,3948,9.77810666858935e-05
"20","wellbeing","tech_1hr_wd",0,1.73810282484978,0.026980000139736,0.082270644595238,0.0155226720502384,3951,0.000764419376480445
"21","sdq","tech_1hr_wd",0,1.97006169658652,0.0287222098663739,0.0489054836117684,0.0145793453657519,3716,0.00104391263168075
"22","selfesteem","tech_30m_wd",0,0.741309282945181,0.0116260728475742,0.458550048037822,0.0156831610166602,3948,0.000139245547911404
"23","wellbeing","tech_30m_wd",0,1.93561508149735,0.0300512909012447,0.0529861580618106,0.0155254477961588,3951,0.00094784870304508
"24","sdq","tech_30m_wd",0,2.58414315094607,0.0376438634153002,0.00979995977296767,0.014567251586476,3716,0.0017947793899475
"25","selfesteem","tech_2hr_we",0,2.70725271541973,0.0419413389206665,0.00681327828631571,0.0154922141851704,3976,0.00184089706356459
"26","wellbeing","tech_2hr_we",0,3.55505170950668,0.0548936485159152,0.000382302959929198,0.0154410267420646,3978,0.00316859825662123
"27","sdq","tech_2hr_we",0,5.3452725321457,0.077630614278352,9.56619198928995e-08,0.0145232284811471,3752,0.00756157059025995
"28","selfesteem","tech_1hr_we",0,2.10877744008149,0.0326899332644118,0.0350262102282247,0.0155018413243024,3976,0.00111775835050723
"29","wellbeing","tech_1hr_we",0,3.01280075056207,0.0465548514296532,0.00260479701465453,0.0154523499175868,3978,0.00227773978637028
"30","sdq","tech_1hr_we",0,4.35094107489109,0.063277636619931,1.39164428586423e-05,0.0145434368176349,3752,0.00502282737548268
"31","selfesteem","tech_30m_we",0,0.88238266148434,0.0136882373717194,0.377623278035545,0.0155128131696209,3976,0.00019588491330115
"32","wellbeing","tech_30m_we",0,2.03972372242774,0.0315458380638379,0.041443817058031,0.0154657406378012,3978,0.00104530279424666
"33","sdq","tech_30m_we",0,3.15279925284232,0.0459040660511524,0.00162989600586572,0.0145597808074107,3752,0.00264369717344798
"34","selfesteem","sr_tech",1,-1.07110585025082,-0.011575268696586,0.284158946478064,0.0108068392062983,6982,0.000164668220485728
"35","wellbeing","sr_tech",1,-6.10494298178165,-0.0638295263599451,1.08356319208832e-09,0.0104553845220873,6987,0.0053180495417804
"36","sdq","sr_tech",1,1.20757534392815,0.0124990781079082,0.227252548386576,0.010350557562106,6832,0.000213897637552084
"37","selfesteem","tech_weekday_d",1,0.0485911487019339,0.00074477628248918,0.961248517975753,0.0153274063771935,2875,8.25847422955526e-07
"38","wellbeing","tech_weekday_d",1,0.489239917842067,0.00718742780222457,0.624709369334007,0.0146910085218042,2876,8.36837996558936e-05
"39","sdq","tech_weekday_d",1,1.3754477834823,0.0195604635562225,0.169102414633219,0.014221160403996,2823,0.000673524187354343
"40","selfesteem","tech_weekend_d",1,-0.936503537529021,-0.014048136238135,0.349092323029492,0.0150006227154264,2903,0.000303696751626887
"41","wellbeing","tech_weekend_d",1,-0.818752961943317,-0.0118860556312226,0.412994949664836,0.0145172673366713,2903,0.000232144368972779
"42","sdq","tech_weekend_d",1,1.40110273593054,0.0196340831005905,0.161292921981146,0.0140133072308581,2848,0.000692700933310444
"43","selfesteem","tech_weekday_c",1,-1.44280579594831,-0.0257300951079454,0.149208626891094,0.0178333738194016,2363,0.000886171211054761
"44","wellbeing","tech_weekday_c",1,-0.0529683232508811,-0.000903806903667135,0.95776165256281,0.0170631586615704,2364,1.19490626718275e-06
"45","sdq","tech_weekday_c",1,-2.40782999000252,-0.0396790626733947,0.0161256105319041,0.0164791795260234,2325,0.00250460132989404
"46","selfesteem","tech_weekend_c",1,-0.960980710086874,-0.0161904510870823,0.336655776371987,0.0168478419151813,2490,0.000373136353975008
"47","wellbeing","tech_weekend_c",1,0.7922752643574,0.0127966946276387,0.428276152413182,0.0161518290464589,2490,0.000253654355557612
"48","sdq","tech_weekend_c",1,-0.382183547464646,-0.00603365902738394,0.702358713825459,0.0157873332523349,2441,6.02290584080702e-05
"49","selfesteem","tech_2hr_wd",1,0.0141491855398145,0.000217204360897851,0.988711966589256,0.0153510151016579,2820,7.13978021033532e-08
"50","wellbeing","tech_2hr_wd",1,0.894989361227006,0.0131310494565582,0.370869565756526,0.0146717380400543,2821,0.00028548209762887
"51","sdq","tech_2hr_wd",1,1.30370864318432,0.0184719935700583,0.192441946200439,0.0141688050214504,2769,0.000617002373551612
"52","selfesteem","tech_1hr_wd",1,-0.642791676091836,-0.00983200419845634,0.52041184090803,0.0152957864330708,2820,0.000147332476409649
"53","wellbeing","tech_1hr_wd",1,1.52402704300861,0.0222771622043357,0.127614685488956,0.0146173011210864,2821,0.000827357133619342
"54","sdq","tech_1hr_wd",1,0.934500796751572,0.0131945721890162,0.350127582642285,0.0141193803524641,2769,0.000317113986961242
"55","selfesteem","tech_30m_wd",1,-0.427250361510768,-0.00651444314280635,0.669229788414315,0.0152473671871713,2820,6.50966435388278e-05
"56","wellbeing","tech_30m_wd",1,2.15453545269348,0.031382197092378,0.0312830981547514,0.014565644326319,2821,0.00165217596365834
"57","sdq","tech_30m_wd",1,2.42560317751637,0.0341059757062963,0.0153468603979467,0.0140608224883751,2769,0.00213258394799788
"58","selfesteem","tech_2hr_we",1,-0.547504787095903,-0.00832255578834843,0.584074944607747,0.0152008822287989,2860,0.000105390260179804
"59","wellbeing","tech_2hr_we",1,0.502892495372045,0.00742929737032636,0.615078798240961,0.0147731323069955,2860,8.89164468548927e-05
"60","sdq","tech_2hr_we",1,2.33416278362244,0.0332042037112558,0.01965780867016,0.0142253162222583,2807,0.0019482984432322
"61","selfesteem","tech_1hr_we",1,-0.379413770601119,-0.00572609751812059,0.704408952645065,0.0150919601812252,2860,5.0614459608636e-05
"62","wellbeing","tech_1hr_we",1,0.408808182007546,0.00599602833577746,0.682711215374517,0.0146670947394756,2860,5.8760305700173e-05
"63","sdq","tech_1hr_we",1,1.99334645387363,0.0281702651428818,0.0463207105502585,0.0141321470174635,2807,0.00142163429619775
"64","selfesteem","tech_30m_we",1,-1.53931467924614,-0.0230555582074357,0.123838738662612,0.0149778070191125,2860,0.000832460328967152
"65","wellbeing","tech_30m_we",1,-0.246400973757153,-0.0035881209341096,0.805389634795032,0.0145621215671249,2860,2.134744859049e-05
"66","sdq","tech_30m_we",1,1.52542101290604,0.0214039574236328,0.12726742363709,0.0140315081820308,2807,0.000833024326259854
